class,dp_wer,dp_cer,dp_per,avg_search_cost
affricate_cs,1.0833333333333333,0.717990890688259,0.9901960784313725,9.39525
affricate_cs_onset,1.0,0.7692307692307693,1.2,7.823
affricate_dzs,1.0,0.7916666666666666,1.0714285714285714,10.76
affricates,1.3333333333333333,0.625,0.7941176470588235,12.976
clusters,1.0,0.9154704944178629,1.3194444444444444,5.70525
final_long_e,7.333333333333333,5.142857142857143,4.0,13.819
front_rounded,1.353174603174603,0.9464120426722062,1.2932733255903988,10.756333333333332
front_rounded_long,1.0119047619047619,0.8622044622044621,1.238888888888889,8.635428571428571
front_rounded_short,1.0277777777777777,0.7777777777777777,1.2222222222222223,8.196666666666667
geminate,1.4,0.75,1.318181818181818,14.934
geminate_dd,1.0,0.625,0.6363636363636364,5.04
hiatus,7.333333333333333,5.142857142857143,4.0,13.819
i_vs_long_i,1.0,0.625,0.6363636363636364,5.04
i_vs_long_i_rhyme,1.0,1.0,1.5714285714285714,6.448
laterals,1.0,0.5714285714285714,0.7058823529411765,8.267
long_a,1.0,1.0,1.5714285714285714,6.448
long_i,1.3333333333333333,0.625,0.7941176470588235,12.976
long_o,1.0,0.7692307692307693,0.8888888888888888,14.013
long_u,1.0,1.0,1.4444444444444444,6.493
long_vs_short_vowels,0.6666666666666666,0.4,0.375,6.735000000000001
palatal_gy,1.6666666666666665,1.5333333333333334,1.9305555555555554,8.8555
palatal_gy_clusters,1.0,1.0,1.4444444444444444,6.493
palatal_ny,1.2,0.9861111111111112,1.909090909090909,11.927
palatal_ty,1.2,0.7980769230769231,1.381313131313131,9.669
plosives,1.6488095238095237,1.727348327166204,1.2780311063980205,11.267999999999999
rhythm,1.3095238095238095,0.7406311028882722,1.0929303640862498,13.625666666666666
s_vs_sh,1.0,1.3076923076923077,1.7272727272727273,8.452
sibilant_clusters,1.3333333333333333,0.625,0.7941176470588235,12.976
sibilants,1.0595238095238093,0.9139051190038032,1.2688982213438735,8.00525
voiced_coda_g,1.0,0.7692307692307693,1.2,7.823
voicing_assimilation_target,2.6666666666666665,4.6875,1.8333333333333333,4.194999999999999
vowel_harmony,0.9,0.6956521739130435,0.6486486486486487,23.363000000000007
vowel_length,1.3325396825396822,1.0237620897184545,1.3248725744454506,9.893333333333333
word_initial,1.0,0.7916666666666666,1.0714285714285714,10.76
z_vs_zh,1.0,0.875,1.0,9.16
